Cl32Na32_82254e
time                          T                             E_tot                         E_kin                         E_pot                         V                             MSD                           
10                            249.2885260564969             -212.7536146464879            2.0622735151745415            -214.81588816166246           1404.3910705817434            0.0004915954591854911         
11                            273.28182811898597            -212.5471077797965            2.2607613965375206            -214.80786917633404           1404.3910705817434            0.0005928177048056073         
12                            264.76467839491613            -212.61064752197973           2.1903021075418265            -214.80094962952157           1404.3910705817434            0.000709393872771702          
13                            284.00438338685274            -212.44586391138864           2.3494652053077063            -214.79532911669634           1404.3910705817434            0.0008382749702898459         
14                            279.5616562764155             -212.47600167591486           2.3127121360833076            -214.78871381199818           1404.3910705817434            0.0009779418218185511         
15                            272.15933516471216            -212.52995873932335           2.2514754196528717            -214.78143415897623           1404.3910705817434            0.0011229527901050987         
16                            268.6156377156619             -212.55156176037997           2.2221596965805963            -214.77372145696057           1404.3910705817434            0.0012709640783142824         
17                            250.59331426435045            -212.69467124912111           2.073067554541434             -214.76773880366255           1404.3910705817434            0.0014162888438311618         
18                            269.1132185492428             -212.53313124342628           2.2262760022565335            -214.7594072456828            1404.3910705817434            0.0015669186618707152         
19                            301.6039217866545             -212.25237601155231           2.495059800034392             -214.7474358115867            1404.3910705817434            0.001735259505197444          
20                            305.8449660542113             -212.20339492474173           2.5301444202855583            -214.73353934502728           1404.3910705817434            0.0019135948463815868         
21                            294.3505522520431             -212.28411182040054           2.435055305950244             -214.71916712635078           1404.3910705817434            0.0020948362809356147         
22                            300.57745796021675            -212.21793365049336           2.4865682372776385            -214.70450188777102           1404.3910705817434            0.002284682287378932          
23                            302.02279453442605            -212.18990165885089           2.498524982277725             -214.68842664112861           1404.3910705817434            0.002486317770769306          
24                            299.86492844994194            -212.1897040193487            2.480673739199187             -214.6703777585479            1404.3910705817434            0.002696775090222399          
25                            292.0009835239133             -212.23686139053862           2.415618176465166             -214.65247956700378           1404.3910705817434            0.0029130265192085897         
26                            283.6474680544208             -212.29088038135833           2.346512574278602             -214.63739295563693           1404.3910705817434            0.0031321925605167825         
27                            271.78676694591576            -212.37560416496993           2.248393297974935             -214.62399746294486           1404.3910705817434            0.0033524831206726857         
28                            284.8845429543998             -212.25300913902646           2.3567464460210013            -214.60975558504745           1404.3910705817434            0.003581214905874958          
29                            281.5959914199785             -212.26840056304087           2.3295414525140528            -214.59794201555493           1404.3910705817434            0.003815842138745456          
30                            268.844489333143              -212.3623857134023            2.2240529029671956            -214.5864386163695            1404.3910705817434            0.004049816627592317          
