time                          T                             E_tot                         E_kin                         E_pot                         V                             MSD                           
0                             290.1165217554846             8.010983278532215             4.0500484448873895            3.960934833644825             1275.5241011249996            9.217161880692142e-07         
0.5                           296.45217641021037            8.092073578636768             4.138494659968315             3.9535789186684536            1275.5241011249996            3.697640501920406e-06         
1.0                           305.02533082620886            8.204562268013081             4.258176539856418             3.946385728156664             1275.5241011249996            8.411418901014458e-06         
1.5                           304.6589837288524             8.192018302860093             4.253062306847696             3.938955996012398             1275.5241011249996            1.4996319484590832e-05        
2.0                           306.425818428259              8.210568478845264             4.2777274520224875            3.9328410268227763            1275.5241011249996            2.3408686590812e-05           
2.5                           293.7758631268072             8.027294235589967             4.101133125416988             3.9261611101729788            1275.5241011249996            3.3518970851445284e-05        
3.0                           291.06977627182516            7.982565479517959             4.063355949569045             3.9192095299489136            1275.5241011249996            4.5004963124220254e-05        
3.5                           289.2534534523163             7.950945076435444             4.037999946518777             3.912945129916667             1275.5241011249996            5.80888246998721e-05          
4.0                           297.6500148823358             8.061130459899854             4.155216575052306             3.9059138848475485            1275.5241011249996            7.28580394660326e-05          
4.5                           291.97043773659675            7.977873292734191             4.075929251298626             3.9019440414355655            1275.5241011249996            8.920426527348208e-05         
5.0                           302.5671141163585             8.123679165408964             4.223859649861036             3.8998195155479283            1275.5241011249996            0.00010703955626393649        
5.5                           296.6521219877087             8.039814346450946             4.14128591525536              3.8985284311955852            1275.5241011249996            0.0001263961709364385         
6.0                           302.98242670170157            8.123172620568662             4.229657444761626             3.893515175807035             1275.5241011249996            0.00014716627625786956        
6.5                           294.2758721916196             7.994555707825248             4.108113289535596             3.8864424182896524            1275.5241011249996            0.00016911342033283931        
7.0                           295.53253039257777            8.0058529145623               4.1256563324541755            3.880196582108126             1275.5241011249996            0.00019205569734371866        
7.5                           302.9711507726607             8.103106099441241             4.2295000319448715            3.87360606749637              1275.5241011249996            0.0002162966530755346         
8.0                           295.41581848695637            7.989206420603429             4.124027025481234             3.8651793951221944            1275.5241011249996            0.00024186275203438008        
8.5                           296.29725137789853            7.991858627193714             4.1363318948752               3.855526732318514             1275.5241011249996            0.0002683186285160206         
9.0                           279.09041233621036            7.742988995196132             3.8961231288230844            3.8468658663730477            1275.5241011249996            0.00029592734647868995        
9.5                           296.8325918951836             7.982440691043443             4.143805288725354             3.8386354023180895            1275.5241011249996            0.00032468449504276193        
10.0                          295.67814133545073            7.957368210131384             4.127689072158804             3.8296791379725796            1275.5241011249996            0.00035498316099470624        
10.5                          302.4291296019819             8.044315296241434             4.221933375671314             3.8223819205701197            1275.5241011249996            0.00038674296465971623        
11.0                          299.93760648762816            8.004283229475606             4.187151525766213             3.8171317037093933            1275.5241011249996            0.0004196820232386874         
11.5                          298.3263392473782             7.9780313469586925            4.164658114011566             3.8133732329471273            1275.5241011249996            0.0004537819997549556         
12.0                          296.9758376976886             7.954268735582973             4.1458050108927145            3.808463724690259             1275.5241011249996            0.000488920101318704          
12.5                          308.0592791429271             8.106053689094692             4.30053068634777              3.8055230027469213            1275.5241011249996            0.0005255435233651704         
13.0                          304.05867016817797            8.04677530340092              4.244681884429343             3.8020934189715785            1275.5241011249996            0.0005632479776289522         
13.5                          307.3197394444891             8.08794742608369              4.290206656583909             3.7977407694997805            1275.5241011249996            0.000601731725783253          
14.0                          321.28514631703194            8.278912800632789             4.485164785973149             3.7937480146596405            1275.5241011249996            0.0006416147337428143         
14.5                          302.9534687947704             8.019806222742137             4.229253190204788             3.7905530325373493            1275.5241011249996            0.0006815888415774294         
15.0                          301.04988698839446            7.991118083075872             4.202679045140666             3.788439037935205             1275.5241011249996            0.0007224346964327484         
15.5                          300.94130650502814            7.990924213284293             4.201163253433451             3.789760959850842             1275.5241011249996            0.0007647495475607708         
16.0                          299.3128946267773             7.971920047707554             4.178430501243955             3.7934895464635994            1275.5241011249996            0.0008078761090296844         
16.5                          294.42194499036094            7.908334985160272             4.110152476782854             3.798182508377417             1275.5241011249996            0.0008509398349848167         
17.0                          298.6501218013323             7.970988072770641             4.169178142795823             3.801809929974819             1275.5241011249996            0.0008949627122190322         
17.5                          304.50154893233287            8.055951222977033             4.250864505257642             3.8050867177193917            1275.5241011249996            0.0009397504920474167         
18.0                          309.9239209697235             8.134685528623875             4.326561226370767             3.808124302253107             1275.5241011249996            0.0009861310636694381         
18.5                          313.5102276880691             8.18683344573973              4.376626337656523             3.8102071080832056            1275.5241011249996            0.0010333082715584317         
19.0                          306.0778731895892             8.084350140413314             4.272870110343863             3.81148003006945              1275.5241011249996            0.0010803466117427249         
19.5                          307.3425045406366             8.103216238029857             4.290524459036841             3.8126917789930164            1275.5241011249996            0.0011277106205351828         
20.0                          311.84083331139647            8.166924300449946             4.353321466709376             3.8136028337405694            1275.5241011249996            0.001176010875398199          
20.5                          313.44883055783885            8.191168336127124             4.375769229104742             3.8153991070223814            1275.5241011249996            0.0012255306857780095         
21.0                          311.8434759177211             8.170372168861526             4.35335835769225              3.817013811169277             1275.5241011249996            0.0012761542855584706         
