CMo16S32_f13c4a
time                          T                             E_tot                         E_kin                         E_pot                         V                             MSD                           P_internal                    
0                             300.00000000000006            -344.5488650306413            1.9001213393563956            -346.4489863699977            2546.49892674665              0.0                           0.017471269418179294          
0.5                           311.63378025044716            -344.5143243619255            1.9738066530605873            -346.4881310149861            2546.49892674665              1.603829124676148e-06         0.017406929932065218          
1.0                           319.5037656779671             -344.52750905847125           2.023653077231436             -346.55116213570267           2546.49892674665              6.4529341691413e-06           0.0173118642639001            
1.5                           338.6541424659358             -344.49255107832596           2.1449465425365517            -346.6374976208625            2546.49892674665              1.4567818356865613e-05        0.017185109750565856          
2.0                           366.2803088604156             -344.4257558802584            2.31992343683909              -346.7456793170975            2546.49892674665              2.5987776942236557e-05        0.017034990522624326          
2.5                           385.77823750652095            -344.4287034018014            2.4434182044848005            -346.8721216062862            2546.49892674665              4.080805168644449e-05         0.016855892288398417          
3.0                           422.0103259058845             -344.3432495262395            2.6729027522750606            -347.01615227851454           2546.49892674665              5.965851564900145e-05         0.01665269873372084           
3.5                           435.0843998269629             -344.41318020421255           2.7557105084409406            -347.1688907126535            2546.49892674665              8.266336665595677e-05         0.01643761774043988           
4.0                           461.2096563231583             -344.4091804330345            2.921181032989541             -347.33036146602404           2546.49892674665              0.00010949342005522563        0.016220053743067297          
4.5                           503.68243357704665            -344.31116213097033           3.190192467662355             -347.5013545986327            2546.49892674665              0.00014046773238469463        0.015995124663624644          
5.0                           530.0936077557603             -344.3219837531308            3.357473919843797             -347.6794576729746            2546.49892674665              0.00017598340726837882        0.01575175526402123           
5.5                           560.2166644391108             -344.3166773658286            3.548265462546052             -347.86494282837464           2546.49892674665              0.0002152861015979869         0.015490409703961837          
6.0                           580.0805829657876             -344.37951565757845           3.67407831413197              -348.0535939717104            2546.49892674665              0.00025811516403913834        0.0152311508263846            
6.5                           594.713844273987              -344.4702910552812            3.766761554385596             -348.2370526096668            2546.49892674665              0.00030507473169373193        0.014974131460079821          
7.0                           624.7719905359902             -344.4578314235053            3.9571419714986895            -348.414973395004             2546.49892674665              0.0003564179817540084         0.014707665015218146          
7.5                           640.7579426510385             -344.5280809544819            4.058392800644466             -348.58647375512635           2546.49892674665              0.00041283814612005644        0.014445394367732274          
8.0                           673.7654815481308             -344.48293779864247           4.267453897371136             -348.7503916960136            2546.49892674665              0.00047408316169369146        0.014184546830596854          
8.5                           666.4267412079652             -344.68367213034634           4.2209722402899885            -348.90464437063633           2546.49892674665              0.0005396983157353573         0.013937582569052183          
9.0                           692.2044511794438             -344.66515959774097           4.384241496278478             -349.04940109401946           2546.49892674665              0.0006081207797508472         0.013687259588087258          
9.5                           712.8302923730922             -344.6725271504902            4.514880166259236             -349.18740731674944           2546.49892674665              0.000680821276372708          0.013437795548006356          
10.0                          726.0906358294214             -344.7160392839462            4.5988677048211235            -349.31490698876735           2546.49892674665              0.0007584535832281936         0.013203975447786431          
10.5                          692.3959621631438             -345.04345002215746           4.385454476634643             -349.4289044987921            2546.49892674665              0.0008387396893263886         0.012967061521632626          
11.0                          680.1731993261884             -345.22080334406456           4.3080387016600055            -349.52884204572456           2546.49892674665              0.0009212477810547858         0.01273583711516746           
11.5                          674.7076280387132             -345.34479533450553           4.273421206209655             -349.6182165407152            2546.49892674665              0.001005225885802965          0.012502694899538999          
12.0                          673.9797349854192             -345.42429511894784           4.26881092246521              -349.69310604141305           2546.49892674665              0.0010909007684939943         0.012270387742140523          
12.5                          665.4584783708709             -345.54277006386275           4.214839517360427             -349.75760958122316           2546.49892674665              0.0011783497396565263         0.012046846439821344          
13.0                          673.5845349798781             -345.5449824696232            4.266307829252402             -349.81129029887563           2546.49892674665              0.0012672298005621978         0.011844921821660881          
