CMo16S32_260e2b
time                          T                             E_tot                         E_kin                         E_pot                         V                             MSD                           P_internal                    
0                             300.0000000000001             -344.54886503064137           1.900121339356396             -346.4489863699978            2546.49892674665              0.0                           0.017471269418179315          
250.0                         286.6326143005677             -348.37955312605357           1.8154558232933993            -350.19500894934697           2546.49892674665              0.005569036374296985          0.01170144137430854           
500.0                         269.0204142294133             -348.56685178268174           1.7039047659993503            -350.2707565486811            2546.49892674665              0.005593520775712003          0.008695387506847988          
750.0                         274.9745205497826             -348.2035054609883            1.7416165142531184            -349.9451219752414            2546.49892674665              0.006429644728471312          0.010017790506313127          
1000.0                        258.01711024490186            -348.19835451685867           1.6342127236513653            -349.83256724051006           2546.49892674665              0.007150316297078971          0.005515969702694179          
1250.0                        309.79883425975805            -348.19220103966023           1.962184586282338             -350.15438562594255           2546.49892674665              0.005739426518250865          0.010054334513359523          
1500.0                        248.40640771378878            -348.7423709998533            1.5733410537661172            -350.3157120536194            2546.49892674665              0.0045537486491380235         0.008574275164732364          
1750.0                        340.9617497230353             -348.02189995746005           2.1595623218434463            -350.1814622793035            2546.49892674665              0.011086762738527507          0.00871727144443559           
2000.0                        316.6518604699124             -348.2232238801745            2.005589857419281             -350.2288137375938            2546.49892674665              0.016796175001094545          0.006122776639656983          
2250.0                        331.5459098077286             -347.9900361778014            2.09992486067332              -350.0899610384747            2546.49892674665              0.016610463454148714          0.008065521983911916          
2500.0                        291.09313826048935            -348.39702265108576           1.8437076124965914            -350.24073026358235           2546.49892674665              0.016956823352291844          0.004827644876758775          
2750.0                        349.8507814304225             -348.46899230050667           2.215863117954853             -350.6848554184615            2546.49892674665              0.02945139415322636           0.005673725971009284          
3000.0                        280.921519718364              -349.17969365188793           1.7792832476709728            -350.9589768995589            2546.49892674665              0.029254627882838766          0.005483631172427598          
3250.0                        252.83439920871038            -349.4767159933666            1.601386790866081             -351.07810278423267           2546.49892674665              0.026787015046952793          0.006566045110663316          
3500.0                        301.5338128726117             -349.1449647112202            1.9098361079224921            -351.0548008191427            2546.49892674665              0.02464546436374429           0.002962693470411839          
3750.0                        261.7084251356098             -349.0087907261764            1.6575925442984258            -350.66638327047485           2546.49892674665              0.03183222975487252           0.0031968941383261422         
4000.0                        322.47565289256255            -349.27361201090787           2.04247623161348              -351.31608824252135           2546.49892674665              0.032328412226872376          0.004280309192865403          
4250.0                        316.85561085470727            -348.9109671071599            2.0068803589327837            -350.91784746609267           2546.49892674665              0.032318395218777926          0.006430709106570193          
4500.0                        280.42912862020967            -349.127061785587             1.7761645715612655            -350.90322635714824           2546.49892674665              0.027452158862843426          0.0039220356908566765         
4750.0                        278.37210934258206            -349.35917440016476           1.76313595081164              -351.1223103509764            2546.49892674665              0.04052006679317208           0.0046566383784491005         
5000.0                        332.9638147284389             -349.1156691105594            2.1089054986633866            -351.22457460922277           2546.49892674665              0.03553030165715141           0.004358901394052475          
5250.0                        301.83459409175344            -349.4181182434905            1.911741177299055             -351.32985942078955           2546.49892674665              0.03424853510692847           0.0037896835498096473         
5500.0                        275.4624888791959             -348.85135772523694           1.7447071777052798            -350.5960649029422            2546.49892674665              0.035307750839936564          0.004289381728822061          
5750.0                        316.91442438270604            -348.8247923366678            2.007252868398095             -350.8320452050659            2546.49892674665              0.0338971339711379            0.005666421946284424          
6000.0                        281.2856258028675             -349.1565123135414            1.7815894001408215            -350.9381017136822            2546.49892674665              0.03469465333742596           0.004449607322928706          
6250.0                        256.0475337412728             -349.75033299937934           1.6217379425045635            -351.3720709418839            2546.49892674665              0.0346117101262505            0.004455966249449879          
6500.0                        362.03456311409064            -348.89211851331913           2.293031996525511             -351.1851505098446            2546.49892674665              0.03118651983375576           0.004876568738897952          
6750.0                        302.0603414295687             -349.08625402355653           1.9131710017453407            -350.9994250253019            2546.49892674665              0.03185549104256794           0.0034506051345872305         
7000.0                        270.2645909867057             -349.4121731063626            1.7117850553542253            -351.1239581617168            2546.49892674665              0.03040092171235445           0.004514109699150418          
7250.0                        308.8128903723401             -349.0627809170497            1.9559398762160352            -351.0187207932657            2546.49892674665              0.03010999293386441           0.00417052823255872           
7500.0                        397.80452601483154            -348.7274064951744            2.519589562577792             -351.2469960577522            2546.49892674665              0.027924629076568848          0.0015671892373536386         
7750.0                        321.49941206317857            -349.06235309421163           2.0362929781726016            -351.0986460723842            2546.49892674665              0.027025925354283373          0.004533692215703041          
8000.0                        286.8900174782247             -349.47494901556394           1.8170861475290132            -351.292035163093             2546.49892674665              0.03573866112824944           0.004958650234106628          
8250.0                        305.38856039998973            -349.1025497189509            1.934251068037833             -351.03680078698875           2546.49892674665              0.031121710798554695          0.003409797566583627          
8500.0                        280.04021631017304            -348.82862796483795           1.7737013029631354            -350.6023292678011            2546.49892674665              0.030609978603700582          0.00344279009198395           
8750.0                        336.1431204016778             -348.99109523243465           2.1290423871769133            -351.12013761961157           2546.49892674665              0.028085822702081993          0.005413652542095873          
9000.0                        313.39917129878023            -348.7578766651116            1.9849881770714088            -350.742864842183             2546.49892674665              0.03881599851467014           0.006111132873747183          
9250.0                        281.39375388087944            -349.00977713055124           1.782274255035535             -350.7920513855868            2546.49892674665              0.024337000675041937          0.006666268639920256          
9500.0                        269.28671030605165            -349.3802311092672            1.705591415525375             -351.08582252479255           2546.49892674665              0.028831575923985407          0.0030598546999519266         
9750.0                        291.110380344724              -348.96821024768843           1.843816819337222             -350.81202706702567           2546.49892674665              0.031754386481625436          0.004280511870484624          
10000.0                       322.29871000657505            -349.06439984008114           2.0413555217684394            -351.10575536184956           2546.49892674665              0.03617973525290108           0.00388850480463316           
10250.0                       247.81571138676472            -349.360914151529             1.569599738112591             -350.9305138896416            2546.49892674665              0.0341766572751543            0.0066669489057640564         
10500.0                       267.7181200538531             -349.3486166862022            1.6956563761556787            -351.0442730623579            2546.49892674665              0.03188287942558897           0.004444239276144847          
10750.0                       343.4243872260019             -348.60282568560507           2.1751600220784004            -350.77798570768346           2546.49892674665              0.031024747149029336          0.004415326733859357          
11000.0                       338.83207511890083            -348.75411919613316           2.146073521306109             -350.90019271743927           2546.49892674665              0.030581933122905306          0.0025864735977304694         
11250.0                       304.7398424675256             -349.30876141343464           1.9301422587488388            -351.2389036721835            2546.49892674665              0.03982936491128323           0.0029224822453983            
11500.0                       292.80284857328036            -349.3756166082919            1.8545364693280975            -351.23015307762              2546.49892674665              0.033199332584673426          0.003932221246137206          
11750.0                       288.2067583628388             -349.1207103998927            1.8254260390398742            -350.94613643893257           2546.49892674665              0.028466648181292707          0.0010705720315387097         
12000.0                       339.0510278716708             -348.6401502945742            2.147460310632272             -350.78761060520645           2546.49892674665              0.032224619546803765          0.003236943171923544          
12250.0                       277.7004321600069             -349.10342016572815           1.7588817236524072            -350.86230188938055           2546.49892674665              0.03296308259606172           0.0037927139875164224         
12500.0                       301.7569535804118             -348.99108829211656           1.9112494226577255            -350.90233771477426           2546.49892674665              0.028190776331554097          0.004217349670344187          
